dataset,source,valid_combinations
msl_C-1,NASA,12
msl_D-15,NASA,12
msl_F-5,NASA,12
msl_M-1,NASA,12
msl_M-2,NASA,12
msl_M-6,NASA,12
msl_T-13,NASA,12
msl_T-8,NASA,12
msl_T-9,NASA,12
nab_realAWSCloudwatch_ec2_cpu_utilization_24ae8d,NAB,12
nab_realKnownCause_ambient_temperature_system_failure,NAB,12
nab_realKnownCause_cpu_utilization_asg_misconfiguration,NAB,12
nab_realKnownCause_ec2_request_latency_system_failure,NAB,12
nab_realKnownCause_machine_temperature_system_failure,NAB,12
nab_realKnownCause_nyc_taxi,NAB,12
skab_other_10,SKAB,12
skab_other_11,SKAB,12
skab_other_14,SKAB,12
skab_other_3,SKAB,12
skab_other_5,SKAB,12
skab_other_6,SKAB,12
skab_other_7,SKAB,12
skab_other_8,SKAB,12
skab_other_9,SKAB,12
skab_valve1_0,SKAB,12
skab_valve1_1,SKAB,12
skab_valve1_10,SKAB,12
skab_valve1_11,SKAB,12
skab_valve1_12,SKAB,12
skab_valve1_13,SKAB,12
skab_valve1_14,SKAB,12
skab_valve1_15,SKAB,12
skab_valve1_2,SKAB,12
skab_valve1_3,SKAB,12
skab_valve1_4,SKAB,12
skab_valve1_5,SKAB,12
skab_valve1_6,SKAB,12
skab_valve1_7,SKAB,12
skab_valve1_8,SKAB,12
skab_valve1_9,SKAB,12
skab_valve2_0,SKAB,12
skab_valve2_2,SKAB,12
skab_valve2_3,SKAB,12
smap_A-7,NASA,12
smap_D-2,NASA,12
smap_D-3,NASA,12
smap_D-9,NASA,12
smap_E-2,NASA,12
smap_E-4,NASA,12
smap_G-7,NASA,12
smap_P-7,NASA,12
smd_machine-1-1,SMD,12
smd_machine-1-2,SMD,12
smd_machine-1-3,SMD,12
smd_machine-1-4,SMD,12
smd_machine-1-5,SMD,12
smd_machine-1-6,SMD,12
smd_machine-1-7,SMD,12
smd_machine-1-8,SMD,12
smd_machine-2-1,SMD,12
smd_machine-2-2,SMD,12
smd_machine-2-3,SMD,12
smd_machine-2-4,SMD,12
smd_machine-2-5,SMD,12
smd_machine-2-6,SMD,12
smd_machine-2-7,SMD,12
smd_machine-2-9,SMD,12
smd_machine-3-1,SMD,12
smd_machine-3-10,SMD,12
smd_machine-3-11,SMD,12
smd_machine-3-2,SMD,12
smd_machine-3-3,SMD,12
smd_machine-3-5,SMD,12
smd_machine-3-6,SMD,12
smd_machine-3-7,SMD,12
smd_machine-3-8,SMD,12
smd_machine-3-9,SMD,12
